,url,name,biz_id,address,category,star_rating
36,https://www.yelp.com/biz/l-osteria-wien?osq=food+review,L’Osteria,l-osteria-wien,Bräunerstr. 11,"['Pizza', 'Italian']",4.0
37,https://www.yelp.com/biz/yong-streetfood-wien?osq=food+review,Yong Streetfood,yong-streetfood-wien,Rechte Wienzeile 9 a,['Pan Asian'],5.0
38,https://www.yelp.com/biz/ristorante-danieli-wien?osq=food+review,Ristorante Danieli,ristorante-danieli-wien,Himmelpfortgasse 3,['Italian'],4.5
39,https://www.yelp.com/biz/schachtelwirt-wien?osq=food+review,SchachtelWirt,schachtelwirt-wien,Judengasse 5,['Austrian'],5.0
40,https://www.yelp.com/biz/brouwerij-l-huyghe-melle?osq=food+review,Brouwerij L. Huyghe,brouwerij-l-huyghe-melle,Geraardsbergsesteenweg 14B,['Breweries'],5.0
41,https://www.yelp.com/biz/brasserie-bavaria-zaventem?osq=food+review,Brasserie Bavaria,brasserie-bavaria-zaventem,Mechelsesteenweg 460,"['German', 'Steakhouses', 'Brasseries']",4.5
42,https://www.yelp.com/biz/the-noodle-bar-bruxelles?osq=food+review,The Noodle Bar,the-noodle-bar-bruxelles,Rue du Marché aux Fromages 15,"['Pan Asian', 'Noodles']",4.5
43,https://www.yelp.com/biz/buns-burgers-bruxelles?osq=food+review,Bun’s Burgers,buns-burgers-bruxelles,Avenue Fonsny 64,['Burgers'],5.0
44,https://www.yelp.com/biz/brasserie-de-la-ville-bruxelles?osq=food+review,Brasserie de la Ville,brasserie-de-la-ville-bruxelles,Rue des Chapeliers 14,"['Belgian', 'Brasseries']",4.5
45,https://www.yelp.com/biz/l-ana-th%C3%A8me-bruxelles?osq=food+review,L’Ana Thème,l-ana-th%C3%A8me-bruxelles,Rue de la Fourche 14,"['Belgian', 'French']",5.0
46,https://www.yelp.com/biz/maison-d-istrie-ixelles?osq=food+review,Maison d’Istrie,maison-d-istrie-ixelles,Avenue Louise 261,"['Wine Bars', 'Mediterranean', 'Cocktail Bars']",5.0
47,https://www.yelp.com/biz/le-fin-de-si%C3%A8cle-brussel?osq=food+review,Le Fin de Siècle,le-fin-de-si%C3%A8cle-brussel,Rue des Chartreux 9,['Brasseries'],4.0
48,https://www.yelp.com/biz/3-fonteinen-restaurant-caf%C3%A9-beersel-2?osq=food+review,3 Fonteinen Restaurant-Café,3-fonteinen-restaurant-caf%C3%A9-beersel-2,Herman Teirlinckplein 3,"['Belgian', 'Cafes']",4.5
